Document Number,Document Title,FSC,Preparing Activity,Date,Notice Date,Amendment Date,Interim Amendment Date
FED-STD-191/5522,Water Resistance of Cloth; Water Impact Penetration Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5524,Water Resistance of Cloth; Rain Penetration Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5526,Water Resistance of Cloth With Hydrophobic Finish; Spray Met,8300,GL,20-Jul-1978,,,
FED-STD-H28/5,"Screw-Threads Standards for Federal Services, Section 5, Uni",THDS,IS,31-Mar-1978,"Notice: 2 29-Aug-2006",,
FED-STD-H28/6A,"Screw-Thread Standards For Federal Services, Section 6 Gages",THDS,IS,5-Mar-1985,"Notice: 4 29-Aug-2006",,
FED-STD-H28/7A,Screw-Thread Standards for Federal Services Section 7 Pipe T,THDS,IS,25-Oct-1984,"Notice: 2 29-Aug-2006",,
FED-STD-H28/8B,Screw-Thread Standards For Federal Servoces Section 8 Drysea,THDS,IS,10-Jun-1992,"Notice: 3 29-Aug-2006",,
FED-STD-H28/9A,Screw-Thread Standards For Federal Services Section 9 Gas Cy,THDS,IS,24-Mar-1989,"Notice: 4 29-Aug-2006",,
FED-STD-H28/11,"Screw Thread Standards For Federal Services, Section 11, Hos",THDS,IS,31-Mar-1978,"Notice: 3 29-Aug-2006",,
FED-STD-H28/12A,Screw-Thread Standards For Federal Services Section 12 Acme,THDS,IS,20-Sep-1989,"Notice: 3 29-Aug-2006",,
FED-STD-H28/13A,"Screw-Thread Standards for Federal Services, Section 13, Stu",THDS,IS,17-Feb-1989,"Notice: 4 29-Aug-2006",,
FED-STD-H28/16,Screw Thread Standards For Federal Services Section 16 Micro,THDS,IS,31-Mar-1978,"Notice: 3 29-Aug-2006",,
FED-STD-H28/17A,"Screw-Thread Standards for Federal Services, Section 17 Sur",THDS,IS,25-Jan-1985,"Notice: 2 29-Aug-2006",,
FED-STD-H28/18B,Screw-Thread Standards For Federal Services Section 18 Photo,THDS,IS,20-Aug-1991,"Notice: 3 29-Aug-2006",,
FED-STD-H28/19A,"Screw Thread Standards For Federal Services, Section 19, Mis",THDS,IS,18-Feb-1988,,,
FED-STD-H28/20B,"Inspection Methods for Acceptability of UN, UNR, UNJ, M, and",THDS,IS,10-Mar-1994,"Notice: 2 29-Aug-2006",,
FED-STD-H28/22A,Screw-Thread Standards for Federal Services Section 22 Gages,THDS,IS,5-Nov-1987,"Notice: 3 29-Aug-2006",,
FED-STD-H28/23,Screw-Thread Standards For Federal Services Section 23 Class,THDS,IS,20-Jan-1989,"Notice: 1 10-Sep-2001",,
FED-STD-H28A/GEN,Federal Screw-Thread Standards for Federal Services,THDS,IS,28-Dec-1994,,,
FED-STD-191/5528,Water Resistance of Coated Cloth; Spray Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5530,Penetration Resistance of Cloth to Passage of Feathers and,8300,GL,20-Jul-1978,,,
FED-STD-191/5550,"Shrinkage in Laundering; Cotton, Linen, and Blended Cotton",8300,GL,20-Jul-1978,,,
FED-STD-191/5552,Shrinkage in Laundering; Cloth Other Than Cotton and Linen,8300,GL,20-Jul-1978,,,
FED-STD-191/5554,Shrinkage in Laundering; Wool Cloth; Accelerated Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5556.1,Mobile Laundry Evaluation for Textile Materials,8300,GL,28-Dec-1989,,,
FED-STD-191/5558,"Shrinkage, Relaxation; Wool Cloth",8300,GL,20-Jul-1978,,,
FED-STD-191/5580,Shrinkage in Dry Cleaning; Cloth,8300,GL,20-Jul-1978,,,
FED-STD-191/5590,Shrinkage in Sponging; Wool Cloth,8300,GL,20-Jul-1978,,,
FED-STD-191/5600,Colorfastness of Textile Materials to Chlorine Bleaching,8300,GL,20-Jul-1978,,,
FED-STD-191/5605,Colorfastness to Combined Laundering and Bleaching of Textil,8300,GL,20-Jul-1978,,,
FED-STD-191/5610.1,Colorfastness to Laundering of Cotton and Linen Textile Mate,8300,GL,21-Jun-1990,,,
FED-STD-191/5612,Colorfastness to Laundering of Cotton and Linen Cloth; Wash,8300,GL,20-Jul-1978,,,
FED-STD-191/5614.1,"Colorfastness to Laundering of Wool, Silk, Rayon and Other",8300,GL,21-Jun-1990,,,
FED-STD-191/5616,"Colorfastness to Laundering to Wool, Silk and Rayon Cloth;",8300,GL,20-Jul-1978,,,
FED-STD-191/5620,Colorfastness to Dry Cleaning of Textile Materials; Petroleu,8300,GL,20-Jul-1978,,,
FED-STD-191/5621,Colorfastness to Wet Cleaning of Textile Materials; Perchlor,8300,GL,20-Jul-1978,,,
FED-STD-191/5622,Colorfastness to Wet Dry Cleaning of Textile Materials; Petr,8300,GL,20-Jul-1978,,,
FED-STD-191/5630,Colorfastness of Textile Materials to Water,8300,GL,20-Jul-1978,,,
FED-STD-191/5632,Colorfastness of Textile Materials to Salt Water and Soap,8300,GL,20-Jul-1978,,,
FED-STD-191/5640,"Colorfastness of Textile Materials to Dry and Wet Heat, Hot",8300,GL,20-Jul-1978,,,
FED-STD-191/5642.1,Colorfastness of Textile Materials to Dry Heat,8300,GL,28-Dec-1989,,,
FED-STD-191/5651.1,Colorfastness of Textile Materials to Crocking,8300,GL,28-Dec-1989,,,
FED-STD-191/5660.1,Colorfastness to Light of Textile Materials; Accelerated Met,8300,GL,28-Dec-1989,,,
FED-STD-191/5662,Colorfastness to Light of Textile Materials; Natural Light M,8300,GL,20-Jul-1978,,,
FED-STD-191/5671.1,Colorfastness of Textile Materials to Weather; Accelerated,8300,GL,28-Dec-1989,,,
FED-STD-191/5672,Colorfastness to Weather of Textile Materials; Natural Weath,8300,GL,20-Jul-1978,,,
FED-STD-191/5675,Colorfastness of Cloth to Oxides of Nitrogen in the Atmosphe,8300,GL,20-Jul-1978,,,
FED-STD-191/5680.1,Colorfastness of Textile Materials to Perspiration; Perspiro,8300,GL,28-Dec-1989,,,
FED-STD-191/5750,Mildew Resistance of Textile Materials; Single Culture Metho,8300,GL,20-Jul-1978,,,
FED-STD-191/5760,Mildew Resistance of Textile Materials; Mixed Culture Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5762,Mildew Resistance of Textile Materials; Soil Burial Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5764,Insect Resistance of Textile Materials,8300,GL,20-Jul-1978,,,
FED-STD-191/5780,Opacity of Textile Materials to Light of Combined Visible an,8300,GL,21-Jun-1990,,,
FED-STD-191/5781,Opacity of Textile Materials to Light of Visible Wavelengths,8300,GL,21-Jun-1990,,,
FED-STD-191/5800,Weathering Resistance of Cloth; Natural Weathering Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5804,Weathering Resistance of Cloth; Accelerated Weathering Metho,8300,GL,20-Jul-1978,,,
FED-STD-191/5830,Leaching Resistance of Cloth; Standard Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5831,Leaching Resistance of Cloth; Minimum Exposure Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5832,Leaching Resistance of Cloth; Prewet Specimen Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5850,Accelerated Aging of Cloth; Oven Method,8300,GL,20-Jul-1978,,,
FED-STD-228/GEN,"Cable and Wire, Insulated; Methods of Testing",6145,CC,14-Apr-1967,,,
FED-STD-228/1011,"Thickness, Insulation; Micrometer Caliper",6145,EL,14-Apr-1967,,,
FED-STD-228/1013,"Thickness, Insulation; Dial Micrometer",6145,EL,14-Apr-1967,,,
FED-STD-228/1014,"Thickness, Insulation, Minimum; Pin-Gage Dial Micrometer",6145,EL,14-Apr-1967,,,
FED-STD-228/1018,"Thickness, Insulation; Optical",6145,EL,14-Apr-1967,,,
FED-STD-228/1051,"Thickness, Varnished Cloth",6145,EL,14-Apr-1967,,,
FED-STD-123H,Marking for Shipment (Civil Agencies),PACK,FSS,8-Aug-2007,"Notice: 1 31-Oct-2007",,
FED-STD-791,"Testing Method of Lubricants, Liquid Fuels, and Related Prod",9100,AT,6-Nov-2007,"Notice: 1 21-Nov-2008",,
FED-STD-228/1111,"Thickness, Braid",6145,EL,14-Apr-1967,,,
FED-STD-228/1121,"Thickness, Cotton Tape; Micrometer Caliper",6145,EL,14-Apr-1967,,,
FED-STD-228/1124,"Thickness, Cotton Tape; Dial Micrometer",6145,EL,14-Apr-1967,,,
FED-STD-228/1141,"Thickness, Wrap",6145,EL,14-Apr-1967,,,
FED-STD-228/1151,"Thickness, Serving; Micrometer Caliper",6145,EL,14-Apr-1967,,,
FED-STD-228/1153,"Thickness, Serving; Diameter Tape",6145,EL,14-Apr-1967,,,
FED-STD-228/1171,"Thickness, Bedding; Micrometer Caliper",6145,EL,14-Apr-1967,,,
FED-STD-228/1173,"Thickness, Bedding; Diameter Tape",6145,EL,14-Apr-1967,,,
FED-STD-228/1211,"Thickness, Metal Tape Armor",6145,EL,14-Apr-1967,,,
FED-STD-228/1221,"Thickness, Woven or Braided Metal Armor; Micrometer Caliper",6145,EL,14-Apr-1967,,,
FED-STD-228/1223,"Thickness, Woven or Braided Metal Armor; Diameter Tape",6145,EL,14-Apr-1967,,,
FED-STD-228/1311,"Thickness, Lead Sheath; Micrometer Caliper (Round Anvil)",6145,EL,14-Apr-1967,,,
FED-STD-228/1313,"Thickness, Lead Sheath; Micrometer Caliper (Flat Anvil)",6145,EL,14-Apr-1967,,,
FED-STD-228/1331,"Thickness, Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/1411,"Width, Metal Tape Armor",6145,EL,14-Apr-1967,,,
FED-STD-228/1421,"Diameter, Armor Wire",6145,EL,14-Apr-1967,,,
FED-STD-228/1431,"Size, Conductor",6145,EL,14-Apr-1967,,,
FED-STD-228/1441,Circumference,6145,EL,14-Apr-1967,,,
FED-STD-228/1511,"Lay of Twist, Armor Wire",6145,EL,14-Apr-1967,,,
FED-STD-228/1521,"Lay of Twist, Cable",6145,EL,14-Apr-1967,,,
FED-STD-228/1531,"Length of Lay, Wrap or Serving",6145,EL,14-Apr-1967,,,
FED-STD-228/1611,"Angle, Braid",6145,EL,14-Apr-1967,,,
FED-STD-228/1621,"Angle, Wrap",6145,EL,14-Apr-1967,,,
FED-STD-228/1631,"Angle of Braid, Metal Armor",6145,EL,14-Apr-1967,,,
FED-STD-228/1711,"Overlap, Cotton Tape",6145,EL,14-Apr-1967,,,
FED-STD-228/2011,"Flexibility, Insulation, Low Temperature",6145,EL,14-Apr-1967,,,
FED-STD-228/2021,"Flexibility, Armored Cable, Low Temperature",6145,EL,14-Apr-1967,,,
FED-STD-228/2031,"Flexibility, Cotton Covered Electric Cord",6145,EL,14-Apr-1967,,,
FED-STD-228/2041,"Flexibility, Fibrous Coverings",6145,EL,14-Apr-1967,,,
FED-STD-141/6301.3,Wet Adhesion (Tape Test),8010,MR,22-Mar-2001,,,
FED-STD-141/4203.2,Reducibility and Dilution Stability,8010,MR,22-Mar-2001,,,
FED-STD-141/4331.2,Spraying Properties,8010,MR,22-Mar-2001,,,
FED-STD-228/2043,"Flexibility, Fibrous Coverings, Low Temperature",6145,EL,14-Apr-1967,,,
FED-STD-228/2051,"Flexibility, Extensile and Retractile Cord",6145,EL,14-Apr-1967,,,
FED-STD-228/2111,"Elongation, Armor",6145,EL,14-Apr-1967,,,
FED-STD-228/2131,"Toughness, Armor Wire",6145,EL,14-Apr-1967,,,
FED-STD-228/2161,"Springiness, Armor Wire",6145,EL,14-Apr-1967,,,
FED-STD-228/2171,"Tightness, Armor",6145,EL,14-Apr-1967,,,
FED-STD-228/2181,"Opening, Armor",6145,EL,14-Apr-1967,,,
FED-STD-228/2211,Abrasion Resistance,6145,EL,14-Apr-1967,,,
FED-STD-3(1),"Colors, Aeronautical Lighting",7650,AS,21-Mar-1951,,,
FED-STD-807M,"Trucks: Heavy Commercial 6x4 and 6x6, 19,500 to 30,000 KG (4",2330,FSS,1-Aug-2005,,,
FED-STD-833,Buses: Heavy-Duty Intercity Motor Coach,2310,FSS,13-Jul-2005,,,
FED-STD-141D/GEN,"Paint, Varnish, Lacquer, and Related Materials: Methods of",8010,MR,22-Mar-2001,,,
FED-STD-141/1031.1,Contractor Inspection Responsibility,8010,MR,22-Mar-2001,,,
FED-STD-141/2131.2,Application of Sprayed Films,8010,MR,22-Mar-2001,,,
FED-STD-141/3011.3,Condition in Container,8010,MR,22-Mar-2001,,,
FED-STD-311/6518,"Chromic Oxide, Wet Oxidation",8300,GL,15-Jan-1969,,,
FED-STD-311/6521,"Chromic Oxide, Colorimetric Method",8300,GL,15-Jan-1969,,,
FED-STD-311/6531,Iron and Aluminum Oxides,8300,GL,15-Jan-1969,,,
FED-STD-311/6541,Magnesium Sulfate (Epsom Salt),8300,GL,15-Jan-1969,,,
FED-STD-311/6551,"Lead Salts, Presence of",8300,GL,15-Jan-1969,,,
FED-STD-311/6621.1,pH Value of Leather,8300,GL,27-Aug-1971,,,
FED-STD-311/6631,Combined Tannin and Degree of Tannage,8300,GL,15-Jan-1969,,,
FED-STD-311/6711,"Paranitrophenol, Colorimetric Method",8300,GL,15-Jan-1969,,,
FED-STD-311/6811,Gasoline-Water Separation,8300,GL,15-Jan-1969,,,
FED-STD-311/7011.1,Shrinkage Temperature,8300,GL,24-Jan-1975,,,
FED-STD-311/7031,Area Stability of Leather,8300,GL,15-Jan-1969,,,
FED-STD-311/7211,"Cracking, Low Temperature",8300,GL,15-Jan-1969,,,
FED-STD-311/8011.2,"Permeability, Water Vapor",8300,GL,24-Jan-1975,,,
FED-STD-311/8021.1,Dynamic Water Resistance of Leather by the Maeser Water Pene,8300,GL,13-Jul-1972,,,
FED-STD-311/8111.1,"Water Absorption, Static Method",8300,GL,13-Jul-1972,,,
FED-STD-311/8112.1,"Water Absorption, Tumble Method",8300,GL,13-Jul-1972,,,
FED-STD-311/8121,"Water Resistance, With Tap Tester",8300,GL,15-Jan-1969,,,
FED-STD-311/8131.1,Dynamic Water Resistance of Shoe Upper Leather by the Dow Co,8300,GL,13-Jul-1972,,,
FED-STD-311/8151,Dynamic Water Absorption of Leather Surfaces,8300,GL,24-Jan-1975,,,
FED-STD-311/8231,Water Marks On Grain Leather,8300,GL,15-Jan-1969,,,
FED-STD-501/2321,"Size, Bench Micrometer",7220,FSS,15-Jun-1966,,,
FED-STD-141/3022.2,Storage Stability (Filled Container),8010,MR,22-Mar-2001,,,
FED-STD-141/4053.2,Nonvolatile Vehicle Content,8010,MR,22-Mar-2001,,,
FED-STD-141/4061.3,Drying Time,8010,MR,22-Mar-2001,,,
FED-STD-501/2411,"Squareness, Tile, T-Square Method",7220,FSS,15-Jun-1966,,,
FED-STD-501/2421,"Squareness, Tile, Dialing Gage Method",7220,FSS,15-Jun-1966,,,
FED-STD-501/3001,"Rheological Tests, General",7220,FSS,15-Jun-1966,,,
FED-STD-501/3111,"Flexibility, Mandrel Method",7220,FSS,15-Jun-1966,,,
FED-STD-501/3121,"Flexibility, Folding Method",7220,FSS,15-Jun-1966,,,
FED-STD-501/3131,Deflection,7220,FSS,15-Jun-1966,,,
FED-STD-501/3211,"Indentation, Spherical Foot",7220,FSS,15-Jun-1966,,,
FED-STD-501/3221,"Indentation, Flat Foot",7220,FSS,15-Jun-1966,,,
FED-STD-501/3231,"Indentation, Residual",7220,FSS,15-Jun-1966,,,
FED-STD-501/3241,Recovery From Indentation,7220,FSS,15-Jun-1966,,,
FED-STD-501/3311,Impact,7220,FSS,15-Jun-1966,,,
FED-STD-501/3411.1,Curl,7220,FSS,11-Aug-1969,,,
FED-STD-501/3511,Durometer Hardness,7220,FSS,15-Jun-1966,,,
FED-STD-501/3521,Calibration of Durometer,7220,FSS,15-Jun-1966,,,
FED-STD-501/3531,International Hardness of Elastomers,7220,FSS,15-Jun-1966,,,
FED-STD-501/4001,"Tension Tests, General",7220,FSS,15-Jun-1966,,,
FED-STD-501/4111,Tensile Strength,7220,FSS,15-Jun-1966,,,
FED-STD-501/4121,"Elongation, Ultimate",7220,FSS,15-Jun-1966,,,
FED-STD-501/4211,Tensile Stress,7220,FSS,15-Jun-1966,,,
FED-STD-501/4311,Tension Set,7220,FSS,15-Jun-1966,,,
FED-STD-501/5001,"Accelerated Aging Tests, General",7220,FSS,15-Jun-1966,,,
FED-STD-501/5111,Air Heat Test,7220,FSS,15-Jun-1966,,,
FED-STD-501/5211,Oxygen Pressure Test,7220,FSS,15-Jun-1966,,,
FED-STD-501/5411,Resistance to Light,7220,FSS,15-Jun-1966,,,
FED-STD-501/5421,Colorfastness to Light,7220,FSS,15-Jun-1966,,,
FED-STD-501/6001,"Thermal Tests, General",7220,FSS,15-Jun-1966,,,
FED-STD-501/6211,Dimensional Stability,7220,FSS,15-Jun-1966,,,
FED-STD-501/6311,"Indentation, Elevated Temperature",7220,FSS,15-Jun-1966,,,
FED-STD-501/6411,Fire Resistance,7220,FSS,15-Jun-1966,,,
FED-STD-501/6421,Flame Spread Index,7220,FSS,15-Jun-1966,,,
FED-STD-141/4252.1,Color Specification From Photoelectric Tristimulus Data,8010,MR,22-Mar-2001,,,
FED-STD-141/4261.1,Appearance of Transparent Liquids,8010,MR,22-Mar-2001,,,
FED-STD-141/6241.2,Infrared Reflectance From Spectrophotometric Data,8010,MR,22-Mar-2001,,,
FED-STD-141/6242.2,Infrared Reflectance From Reflectometer,8010,MR,22-Mar-2001,,,
FED-STD-141/6304.2,Knife Test (Brittleness),8010,MR,22-Mar-2001,,,
FED-STD-501/6511,"Flexibility, Low Temperature",7220,FSS,15-Jun-1966,,,
FED-STD-501/7001,"Miscellaneous Physical Tests, General",7220,FSS,15-Jun-1966,,,
FED-STD-501/7121,Dynamic Coefficient of Friction,7220,FSS,15-Jun-1966,,,
FED-STD-501/7211,Adhesion to Fabric,7220,FSS,15-Jun-1966,,,
FED-STD-501/7221,Keying Test,7220,FSS,15-Jun-1966,,,
FED-STD-501/7411,Specular Gloss,7220,FSS,15-Jun-1966,,,
FED-STD-501/7421,Finish,7220,FSS,15-Jun-1966,,,
FED-STD-501/7511,Water Absorption,7220,FSS,15-Jun-1966,,,
FED-STD-501/7611,Weight,7220,FSS,15-Jun-1966,,,
FED-STD-501/7711,Scratch Resistance,7220,FSS,15-Jun-1966,,,
FED-STD-501/8001,"Electrical Tests, General",7220,FSS,15-Jun-1966,,,
FED-STD-501/8111,Voltage With Stand,7220,FSS,15-Jun-1966,,,
FED-STD-501/8211,Dielectric Breakdown Voltage,7220,FSS,15-Jun-1966,,,
FED-STD-501/8311,Electrical Conductance,7220,FSS,15-Jun-1966,,,
FED-STD-501/9001,"Chemical Tests, General",7220,FSS,15-Jun-1966,,,
FED-STD-501/9211,Volatile Material,7220,FSS,15-Jun-1966,,,
FED-STD-501/9311,"Resistance to Acids, Alkalies, and Organic Materials",7220,FSS,15-Jun-1966,,,
FED-STD-501/9331,Resistance to Sulfuric Acid (Tensile Strength and Elongation,7220,FSS,15-Jun-1966,,,
FED-STD-501/9341,Resistance to Detergents,7220,FSS,15-Jun-1966,,,
FED-STD-791/335.3,Gear Wear,9110,MR,30-Sep-1986,,,
FED-STD-791/339.6,Performance of Diesel Engine Lubricating Oils Under Severe,9110,MR,30-Sep-1986,,,
FED-STD-791/340.3,Performance of Engine Lubricating Oils Under Medium Speed Su,9100,MR,15-Jan-1969,,,
FED-STD-791/341,Performance of Engine Lubricating Oils Under High Speed Supe,9100,MR,30-Sep-1986,,,
FED-STD-791/342.3,Performance of Diesel Engine Lubricating Oils: High Corrosiv,9100,MR,15-Jan-1969,,,
FED-STD-791/344,"Demerit System for Rating Deposits, Wear, and Corrosion in",9100,MR,30-Sep-1986,,,
FED-STD-791/346,Performance of Engine Lubricating Oils Under High Temperatur,9100,MR,30-Sep-1986,,,
FED-STD-595,COLORS USED IN GOVERNMENT PROCUREMENT,8010,FAS,16-Jan-2008,,,
FED-STD-791/347.3,Performance of Aviation Piston Engine Oils in Clear Engine,9100,MR,30-Sep-1986,,,
FED-STD-791/348,Performance of Crankcase Lubricating Oils in Clear Engine (L,9100,MR,30-Sep-1986,,,
FED-STD-791/350.2,Evaporation Loss of Lubricating Greases and Oils (High Tempe,9100,MR,30-Sep-1986,,,
FED-STD-791/352.1,Effect of Evaporation On Flammability,9100,MR,30-Sep-1986,,,
FED-STD-791/353.1,Evaporation,9100,MR,30-Sep-1986,,,
FED-STD-791/354.1,Performance of Arctic Lubricating Oils in A Two Cycle Diesel,9100,MR,30-Sep-1986,,,
FED-STD-791/355,Performance of Engine Lubricating Oils in A Two-Cycle Diesel,9100,MR,30-Sep-1986,,,
FED-STD-791/361.4,Stroking Properties of Hydraulic Brake Fluids,9100,MR,30-Sep-1986,,,
FED-STD-791/402.2,Density of Hydrocarbon Liquids (Pycnometer),9100,MR,15-Jan-1969,,,
FED-STD-791/500.1,Induction System Deposit (ISD) Tendencies of Motor Gasoline,9100,MR,30-Sep-1986,,,
FED-STD-791/550.1,Emulsification Tendencies of Petroleum Fuels by Multiple Con,9100,MR,30-Sep-1986,,,
FED-STD-791/600,Ditertiary Butyl Disulfide in Reference Diesel Fuels,9100,MR,8-Mar-1972,,,
FED-STD-791/700,Effects of Engine Lubricating Oil On Non Metallic Automotive,9100,MR,8-Mar-1972,,,
FED-STD-791C/GEN,"Lubricants, Liquid Fuels, and Related Products; Methods of",9100,AT,30-Sep-1986,,,
FED-STD-791/1011,Vapor Liquid Ratio of Gasoline (Alternate Method),9100,MR,15-Jan-1969,,,
FED-STD-791/1110.2,Quenching Speed,9100,MR,30-Sep-1986,,,
FED-STD-791/1151.2,Explosive Vapors in Boiler Fuel Oil,9100,MR,30-Sep-1986,,,
FED-STD-791/1303.2,Flock Point (Refrigerant Compressor Oil),9100,MR,30-Sep-1986,,,
FED-STD-791/2001.2,Wick Feed Characteristics of Oil (Wick Feed Oilers),9100,MR,15-Jan-1969,,,
FED-STD-791/2503.2,Thermal Stability of Grease,9100,MR,15-Jan-1969,,,
FED-STD-791/2504,Thermal Oxidation Stability of Gear Lubricants,9100,MR,15-Jan-1969,,,
FED-STD-791/2508.1,Thermal Stability of Lubricating and Hydraulic Fluids,9100,MR,30-Sep-1986,,,
FED-STD-791/3005.4,Dirt Content of Grease,9100,MR,30-Sep-1986,,,
FED-STD-791/3006.3,Contamination in Engine Oil,9100,MR,30-Sep-1986,,,
FED-STD-791/3007.2,Water Displacement and Water Stability,9100,MR,30-Sep-1986,,,
FED-STD-H28/4,"Screw Thread Standards For Federal Services, Section 4, Cont",THDS,IS,31-Mar-1978,"Notice: 2 29-Aug-2006",,
FED-STD-H28/10A,Scew-Thread Standards For Federal Services Section 10 Hose C,THDS,IS,21-Jun-1993,"Notice: 4 29-Aug-2006",,
FED-STD-00160,"Rubber Products, Definitions and Terms for Visible Defects o",MISC,FSS,5-Jan-1962,,,
FED-STD-162A,"Hose, Rubber, Visual Inspection Guide for",4720,SH,9-May-1967,,,
FED-STD-791/3009.3,Solid Particle Contamination in Hydraulic Fluids,9100,MR,30-Sep-1986,,,
FED-STD-791/3010.1,Solid Particle Contamination in Aircraft Turbine Engine Lubr,9100,MR,30-Sep-1986,,,
FED-STD-791/3011.1,Particulate Contamination in Aerospace Hydraulic Fluids Usin,9100,MR,30-Sep-1986,,,
FED-STD-791/3012,Determination of Particulate Matter in Aerospace Hydraulic,9100,MR,30-Sep-1986,,,
FED-STD-791/3013,Determination of Particulate Contamination in Synthetic Turb,9100,MR,30-Sep-1986,,,
FED-STD-791/3020.1,"Copper and Iron in Oil, Sludge, and Water, After ASTM D 943",9100,MR,15-Jan-1969,,,
FED-STD-791/3110.1,Fatty Oil in Cutting Fluids by Infrared Spectrophotometry,9100,MR,30-Sep-1986,,,
FED-STD-791/3180.2,Sulfur in Cutting Fluids (Active and Total),9110,MR,30-Sep-1986,,,
FED-STD-791/3201.7,Emulsion (Petroleum and Petroleum-Like Products),9100,MR,30-Sep-1986,,,
FED-STD-791/3205.3,Emulsion (Soluble Cutting Oils),9100,MR,30-Sep-1986,,,
FED-STD-791/3206.4,Steam Emulsion (Uninhibited Oils),9100,MR,15-Jan-1969,,,
FED-STD-791/3213.1,Foaming Characteristics of Aircraft Turbine Lubricating Oils,9100,MR,30-Sep-1986,,,
FED-STD-791/3214.1,Foaming Characteristics of Aircraft Turbine Lubricating Oils,9100,MR,30-Sep-1986,,,
FED-STD-791/5103.1,Neutralization Number,9100,MR,31-Dec-1963,,,
FED-STD-791/5104,Neutralization Number of Used or Compounded Oils,9100,MR,31-Dec-1963,,,
FED-STD-791/5108.1,Hydrobromic Acid Neutralization,9100,MR,15-Jan-1969,,,
FED-STD-791/5210,Sulfur by the Lamp Method (Volumetric Finish),9100,MR,15-Jan-1969,,,
FED-STD-791/5302,Corrosive Sulfur Compounds and Free Sulfur,9100,MR,31-Dec-1955,,,
FED-STD-791/5303,"Corrosion (Copper Strip, 212 F.)",9100,MR,31-Dec-1955,,,
